::1 | /api/students | 401 | Anonymous | 2024-03-10T23:50:13.000Z
::1 | /api/students/top-students | 401 | Anonymous | 2024-03-10T23:51:34.869Z
::1 | /api/subjects/by-user/c2984e37-ae6b-4b6f-8bd8-d2b130e1522f | 401 | Anonymous | 2024-03-10T23:55:01.305Z
::1 | /api/subjects/by-user/c2984e37-ae6b-4b6f-8bd8-d2b130e1522f | 200 | Anonymous | 2024-03-10T23:55:14.340Z
::1 | /api/students/top-students | 401 | Anonymous | 2024-03-11T00:05:22.518Z
::1 | /api/subjects/by-user/c2984e37-ae6b-4b6f-8bd8-d2b130e1522f | 200 | Anonymous | 2024-03-11T00:05:26.129Z
::1 | /api/students/c2984e37-ae6b-4b6f-8bd8-d2b130e1522f | 200 | Anonymous | 2024-03-11T00:05:39.669Z
::1 | /api/students | 401 | Anonymous | 2024-03-11T00:11:42.178Z
::1 | /api/students | 401 | Anonymous | 2024-03-11T00:11:47.623Z
::1 | /api/students/c2984e37-ae6b-4b6f-8bd8-d2b130e1522f | 200 | Anonymous | 2024-03-11T00:11:50.931Z
::1 | /api/students/top-students | 401 | Unknow | 2024-03-11T00:13:17.117Z
::1 | /api/subjects/by-user/c2984e37-ae6b-4b6f-8bd8-d2b130e1522f | 200 | Unknow | 2024-03-11T00:13:24.472Z
::1 | /api/logs | 200 | Unknow | 2024-03-11T00:33:46.362Z
::1 | /api/logs | 200 | Unknow | 2024-03-11T01:00:22.435Z
::1 | /api/students | 401 | Unknow | 2024-03-11T01:05:50.033Z
::1 | /api/auth/register | 400 | Unknow | 2024-03-11T01:05:52.931Z
::1 | /api/students/c2984e37-ae6b-4b6f-8bd8-d2b130e1522f | 200 | Unknow | 2024-03-11T01:05:53.227Z
::1 | /api/students/46aec88b-fdfd-41b0-a84c-b4594baa3326 | 401 | Unknow | 2024-03-11T01:05:53.603Z
::1 | /api/students/ef568711-6019-4f9e-b0d1-0f14e630547d | 401 | Unknow | 2024-03-11T01:05:53.681Z
::1 | /api/auth/register-admin | 400 | Unknow | 2024-03-11T01:05:53.794Z
::1 | /api/students/top-students | 401 | Unknow | 2024-03-11T01:05:54.551Z
::1 | /api/subjects | 401 | Unknow | 2024-03-11T01:05:54.647Z
::1 | /api/subjects | 401 | Unknow | 2024-03-11T01:05:54.726Z
::1 | /api/subjects/88b007e5-4d7e-4a97-8ce5-0ee1b56fedf8 | 401 | Unknow | 2024-03-11T01:05:54.808Z
::1 | /api/subjects/88b007e5-4d7e-4a97-8ce5-0ee1b56fedf8 | 401 | Unknow | 2024-03-11T01:05:54.883Z
::1 | /api/subjects/88b007e5-4d7e-4a97-8ce5-0ee1b56fedf8 | 401 | Unknow | 2024-03-11T01:05:54.960Z
::1 | /api/subjects/enroll | 401 | Unknow | 2024-03-11T01:05:55.038Z
::1 | /api/subjects/by-user/c2984e37-ae6b-4b6f-8bd8-d2b130e1522f | 200 | Unknow | 2024-03-11T01:05:55.117Z
::1 | /api/subjects/evidences/by-subject | 401 | Unknow | 2024-03-11T01:05:56.374Z
::1 | /api/evidences | 401 | Unknow | 2024-03-11T01:05:56.442Z
::1 | /api/evidences/ | 401 | Unknow | 2024-03-11T01:05:56.520Z
::1 | /api/evidences | 401 | Unknow | 2024-03-11T01:05:59.641Z
::1 | /api/evidences/83fab747-dc77-49cd-85ab-ef23883cbf91 | 401 | Unknow | 2024-03-11T01:05:59.699Z
::1 | /api/evidences/by-format | 401 | Unknow | 2024-03-11T01:05:59.728Z
::1 | /api/auth/login | 200 | Unknow | 2024-03-11T01:05:59.809Z
::1 | /api/logs | 200 | Unknow | 2024-03-11T01:06:00.371Z
::1 | /api/subjects/by-user/c2984e37-ae6b-4b6f-8bd8-d2b130e1522f | 401 | Unknow | 2024-03-11T02:16:17.261Z
::1 | /api/auth/login | 200 | Unknow | 2024-03-11T02:16:35.114Z
::1 | /api/subjects/by-user/c2984e37-ae6b-4b6f-8bd8-d2b130e1522f | 200 | Unknow | 2024-03-11T02:16:53.599Z
::1 | /api/subjects/88b007e5-4d7e-4a97-8ce5-0ee1b56fedf8 | 401 | Unknow | 2024-03-11T02:17:38.485Z
::1 | /api/subjects/88b007e5-4d7e-4a97-8ce5-0ee1b56fedf8 | 401 | Unknow | 2024-03-11T02:17:50.496Z
::1 | /api/subjects/enroll | 401 | Unknow | 2024-03-11T02:21:50.014Z
::1 | /api/subjects/enroll | 401 | Unknow | 2024-03-11T02:22:03.600Z
::1 | /api/subjects/evidences/by-subject | 401 | Unknow | 2024-03-11T02:22:46.176Z
::1 | /api/subjects/evidences/by-subject | 200 | Unknow | 2024-03-11T02:22:56.290Z
